Starting Speech-to-Text conversion...
Transcribing audio file: /home/ubuntu/aula01_bioquimica.mp3, file size: 11.73 MB
Transcription may take some time depending on file size and audio length...
Transcription completed successfully!

TRANSCRIPTION RESULT:
Total Duration: 1349.0 seconds
Language: portuguese
Timestamped segments:
[00:000.0 - 00:016.0]  Música
[00:016.0 - 00:021.0]  Meu nome é Nádia, eu sou do Departamento de Bioquímica e eu vou ser a professora de vocês
[00:021.0 - 00:024.0]  juntamente com a professora Maria Tereza nessa disciplina.
[00:024.0 - 00:028.0]  E essa disciplina se chama Introdução à Bioquímica.
[00:028.0 - 00:032.0]  Então, hoje a gente vai começar, na verdade eu vou começar falando para vocês
[00:032.0 - 00:036.0]  porque que essa disciplina se chama Introdução à Bioquímica e o que é bioquímica.
[00:036.0 - 00:039.0]  Vocês nunca escutaram falar sobre bioquímica.
[00:039.0 - 00:046.0]  E o que a gente vai fazer nessa disciplina é contextualizar vários conceitos
[00:046.0 - 00:053.0]  que são necessários para que vocês entendam metabolismo, regulação e biologia molecular
[00:053.0 - 00:059.0]  que vocês vão estudar quando vocês forem fazer bioquímica e biologia molecular.
[00:059.0 - 01:007.0]  Então, alguns dos tópicos das aulas vão parecer um pouco sem sentido
[01:007.0 - 01:010.0]  e vão parecer desconectados uns dos outros.
[01:010.0 - 01:014.0]  E na verdade eles até são um pouco desconectados uns dos outros.
[01:014.0 - 01:019.0]  Mas eles apresentam em cada uma das aulas, a gente vai apresentar conceitos
[01:019.0 - 01:024.0]  que são necessários para que vocês entendam o que vocês forem estudar
[01:024.0 - 01:027.0]  quando vocês forem estudar estrutura de biomoléculas,
[01:027.0 - 01:030.0]  quando vocês forem estudar metabolismo, regulação
[01:030.0 - 01:034.0]  e tudo que vocês vão estudar nas próximas disciplinas de bioquímica.
[01:034.0 - 01:040.0]  Essa primeira aula, na verdade, a gente vai discutir alguns conceitos
[01:040.0 - 01:044.0]  que são importantes para a gente pensar em sistemas biológicos.
[01:045.0 - 01:050.0]  Então, o título da aula, que eu acho que representa muito bem
[01:050.0 - 01:055.0]  o que essa disciplina é, é Sistemas Biológicos e a Química de Biomoléculas.
[01:055.0 - 02:002.0]  E eu gosto de começar com duas quotes que eu tirei de um livro
[02:002.0 - 02:005.0]  que chama Leninger Principles of Biochemistry.
[02:005.0 - 02:010.0]  Aqui estão os autores e, aliás, a maior parte dessa aula
[02:010.0 - 02:015.0]  utilizou esse livro como referência, do capítulo 1,
[02:015.0 - 02:021.0]  que eu acho que explica muito bem o que é a intersecção entre química e biologia
[02:021.0 - 02:023.0]  que a gente chama de bioquímica.
[02:023.0 - 02:028.0]  Então ele fala assim, com a célula, a biologia descobriu o seu átomo.
